scenario,wall_u,window_u,window_shgc,roof_u,transmittance,heating_load,heating_load_m2 ,cooling_load,cooling_load_m2
266,0.1,1.41,0.43,0.17,0.4,2952.23,16.48,926.36,5.17
267,0.1,1.41,0.43,0.17,0.6,2763.26,15.42,1225.09,6.84
268,0.1,1.41,0.43,0.17,0.8,2612.89,14.58,1566.74,8.74
269,0.1,1.41,0.43,0.25,0.2,3470.88,19.37,609.91,3.4
270,0.1,1.41,0.43,0.25,0.4,3244.98,18.11,863.85,4.82
271,0.1,1.41,0.43,0.25,0.6,3046.93,17.01,1152.34,6.43
272,0.1,1.41,0.43,0.25,0.8,2887.94,16.12,1481.25,8.27
273,0.1,1.41,0.43,0.32,0.2,3731.47,20.83,571.72,3.19
274,0.1,1.41,0.43,0.32,0.4,3498.22,19.52,817.64,4.56
275,0.1,1.41,0.43,0.32,0.6,3293.82,18.38,1098.24,6.13
276,0.1,1.41,0.43,0.32,0.8,3128.46,17.46,1417.99,7.91
277,0.1,1.41,0.43,0.4,0.2,4021.59,22.45,535.04,2.99
278,0.1,1.41,0.43,0.4,0.4,3781.32,21.1,773.36,4.32
279,0.1,1.41,0.43,0.4,0.6,3567.69,19.91,1045.88,5.84
280,0.1,1.41,0.43,0.4,0.8,3394.66,18.95,1355.85,7.57
281,0.1,1.41,0.51,0.1,0.2,2861.69,15.97,770.52,4.3
282,0.1,1.41,0.51,0.1,0.4,2616.84,14.61,1109.63,6.19
283,0.1,1.41,0.51,0.1,0.6,2428.52,13.55,1509.4,8.42
284,0.1,1.41,0.51,0.1,0.8,2267.64,12.66,1963.33,10.96
285,0.1,1.41,0.51,0.17,0.2,3125.35,17.44,712.44,3.98
286,0.1,1.41,0.51,0.17,0.4,2871.77,16.03,1040.6,5.81
287,0.1,1.41,0.51,0.17,0.6,2670.9,14.91,1424.3,7.95
288,0.1,1.41,0.51,0.17,0.8,2502.75,13.97,1864.5,10.41
289,0.1,1.41,0.51,0.25,0.2,3423.65,19.11,657.33,3.67
290,0.1,1.41,0.51,0.25,0.4,3161.72,17.65,974.3,5.44
291,0.1,1.41,0.51,0.25,0.6,2948.25,16.45,1343.75,7.5
292,0.1,1.41,0.51,0.25,0.8,2773.39,15.48,1769.48,9.88
293,0.1,1.41,0.51,0.32,0.2,3682.77,20.55,617.46,3.45
294,0.1,1.41,0.51,0.32,0.4,3412.79,19.05,925.17,5.16
295,0.1,1.41,0.51,0.32,0.6,3190.37,17.81,1283.93,7.17
296,0.1,1.41,0.51,0.32,0.8,3010.55,16.8,1698.25,9.48
297,0.1,1.41,0.51,0.4,0.2,3971.72,22.17,579.26,3.23
298,0.1,1.41,0.51,0.4,0.4,3692.35,20.61,877.67,4.9
299,0.1,1.41,0.51,0.4,0.6,3458.71,19.3,1225.42,6.84
300,0.1,1.41,0.51,0.4,0.8,3274.36,18.28,1628.75,9.09
301,0.1,1.41,0.59,0.1,0.2,2822.09,15.75,818.87,4.57
302,0.1,1.41,0.59,0.1,0.4,2553.18,14.25,1223.78,6.83
303,0.1,1.41,0.59,0.1,0.6,2353.26,13.13,1710.59,9.55
304,0.1,1.41,0.59,0.1,0.8,2175.78,12.14,2257.1,12.6
305,0.1,1.41,0.59,0.17,0.2,3084.57,17.22,759.13,4.24
306,0.1,1.41,0.59,0.17,0.4,2803.83,15.65,1150.3,6.42
307,0.1,1.41,0.59,0.17,0.6,2592.26,14.47,1618.55,9.03
308,0.1,1.41,0.59,0.17,0.8,2406.69,13.43,2151.45,12.01
309,0.1,1.41,0.59,0.25,0.2,3381.35,18.87,702.19,3.92
310,0.1,1.41,0.59,0.25,0.4,3090.16,17.25,1080.23,6.03
311,0.1,1.41,0.59,0.25,0.6,2866.52,16,1531.22,8.55
312,0.1,1.41,0.59,0.25,0.8,2673.97,14.92,2049.83,11.44
