Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling
1990,2,0.8,0.66,0.22,0.6,43625.6513273386,20642.2534543277
1991,0.5,0.1,0.1,0.46,0.6,44826.1584844919,9810.27018383521
1992,0.5,0.8,0.38,0.22,0.6,31071.4024507832,21225.002042344
1993,3,0.8,0.38,0.58,0.2,56781.6287940179,16819.2491929543
1994,2.5,0.24,0.66,0.58,0.2,64932.9674937856,11505.8955149236
1995,0.5,0.1,0.38,0.46,0.2,48210.7662513344,9571.17975487757
1996,1,0.1,0.1,0.22,0.2,43610.6526180002,8613.82651450631
1997,2,0.24,0.66,0.22,0.4,53124.1366910482,11763.0426646183
1998,2.5,0.24,0.24,0.1,0.2,49771.4661305943,10157.3376073945
1999,1.5,0.38,0.66,0.1,0.2,45105.3031267664,12535.6583187563
2000,0.5,0.24,0.66,0.46,0.2,48436.8040388689,11626.7854187674
2001,0.5,0.8,0.8,0.22,0.4,35703.7503862924,20113.258668799
