Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling,total_solarRad,,total_idealHeating(per m2),total_idealCooling (per m2)
4481,2.3,0.1,0.32,1.06,0.2,285494.351,111586.0309,8759.045285,,1510.23249576809,590.277353470165
4482,2.8,0.8,0.98,1.7,0.2,309566.2219,171428.2824,153666.4894,,1637.56994234025,906.836026237833
4483,1.3,0.38,1.2,0.42,0.6,180828.4813,134978.8692,96348.49426,,956.562004337706,714.022795175624
4484,1.3,0.52,0.1,0.42,0.6,146910.5287,144832.4497,151158.4868,,777.139910600931,766.147110135421
4485,0.3,0.8,0.32,0.74,0.2,158414.4609,146946.0136,153823.2801,,837.994397482015,777.327621667372
4486,0.3,0.52,0.98,1.7,0.6,251215.5938,178042.7042,151321.6858,,1328.9017869234,941.825561785866
4487,1.3,0.66,0.98,1.38,0.8,236612.1422,200330.225,239067.5863,,1251.65119657215,1059.7240002116
4488,0.3,0.24,1.2,1.38,0.4,260680.1082,136377.619,39462.11812,,1378.96798666949,721.422021794329
4489,0.3,0.24,0.76,0.74,0.6,192926.0887,125052.125,49660.58968,,1020.55696519255,661.511452602624
4490,1.3,0.8,0.98,0.74,0.2,198208.6634,150413.6245,153767.7167,,1048.50118176047,795.670887113838
4491,0.3,0.24,0.32,1.7,0.6,263811.7492,144169.4413,49660.58968,,1395.53400973339,762.639871455777
4492,2.3,0.8,0.76,0.42,0.4,172375.0321,159724.0423,201945.7176,,911.844223973762,844.921933453237
4493,1.3,0.24,0.32,1.38,0.6,268092.7573,137958.1262,49615.31525,,1418.18005342785,729.782724291155
4494,1.8,0.38,1.2,0.74,0.6,226148.8427,143700.0852,98732.67396,,1196.30153776978,760.157031316124
4495,1.3,0.52,0.98,1.38,0.6,254638.2204,171514.9236,151158.4868,,1347.00709056284,907.294348286077
4496,2.8,0.24,0.98,1.06,0.6,287164.8599,135924.4036,52539.42337,,1519.06929697419,719.024564113415
4497,2.3,0.38,0.32,1.38,0.6,276903.7828,153773.8108,98659.235,,1464.78937156157,813.445888700804
4498,1.8,0.1,0.54,0.42,0.4,214035.0422,96814.76406,11903.05653,,1132.22091726619,512.139039674143
4499,0.3,0.52,0.1,1.7,0.4,241162.9747,160626.3009,121727.9511,,1275.72458051206,849.694778353788
4500,0.3,0.8,0.1,0.42,0.8,95541.63643,197926.0136,298912.8635,,505.404339980956,1047.00599661447
4501,0.8,0.1,0.1,1.06,0.6,239683.0916,112482.7756,14210.31249,,1267.89616800677,595.021030469742
4502,2.3,0.24,0.32,1.7,0.4,318197.7793,140540.8411,41951.64306,,1683.22989473127,743.444991007194
4503,0.8,0.66,0.54,1.38,0.8,215907.7253,198897.392,239197.9757,,1142.12719688955,1052.14447735929
