Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling,total_solarRad,
1328,1.38,0.62,0.475,0.42,0.8,21389.38629,2744.501409,8559.563598,
1329,1.92,0.1,0.475,0.42,0.4,25580.16516,1240.134914,532.588153,
1330,2.46,0.36,0.225,0.1,0.6,20638.39564,1704.265088,3791.760555,
1331,1.38,0.36,0.6,0.1,0.6,20647.96971,1897.022293,3616.778068,
1332,1.92,0.49,0.6,0.1,0.4,21320.43542,2065.454519,5032.242432,
1333,2.46,0.1,0.225,0.18,0.6,23126.04865,1080.916939,602.2264778,
1334,1.92,0.62,0.1,0.34,0.6,19717.39449,2425.039606,7776.619042,
1335,1.38,0.49,0.6,0.42,0.8,22658.28652,2444.553692,6450.88629,
1336,3,0.75,0.225,0.34,0.4,22217.22108,2488.274264,8767.269282,
1337,2.46,0.75,0.225,0.5,0.2,22880.86315,2345.262306,7805.01647,
1338,2.46,0.36,0.225,0.42,0.4,23653.47607,1677.670592,3392.851679,
1339,2.46,0.1,0.1,0.5,0.2,25130.58451,1098.911894,463.1266797,
1340,0.84,0.23,0.1,0.18,0.4,17987.37289,1321.317696,1673.021498,
1341,0.84,0.1,0.225,0.34,0.2,21118.98986,1102.445235,430.851903,
1342,1.92,0.62,0.475,0.42,0.4,22918.32213,2382.240524,6997.460871,
1343,2.46,0.62,0.1,0.18,0.8,19114.64498,2505.141832,8551.60683,
1344,1.38,0.49,0.6,0.1,0.2,20414.56294,1943.194143,4662.708516,
1345,2.46,0.23,0.35,0.26,0.6,23621.78776,1473.514602,2008.69805,
1346,3,0.1,0.225,0.5,0.2,26863.70974,1150.127475,463.1467429,
1347,1.38,0.23,0.475,0.34,0.4,22979.77552,1496.016673,1672.61274,
1348,1.92,0.75,0.6,0.34,0.4,22426.21254,2683.747406,8771.522899,
1349,0.3,0.49,0.1,0.26,0.6,15847.89719,2279.059309,5858.964078,
1350,2.46,0.23,0.35,0.5,0.2,25856.33166,1408.529471,1572.880462,
1351,0.3,0.36,0.6,0.34,0.2,20548.38619,1802.356557,2842.027765,
1352,2.46,0.36,0.1,0.34,0.4,22190.75584,1606.800534,3392.851679,
1353,2.46,0.62,0.35,0.34,0.4,22556.28879,2285.474692,6995.375679,
1354,2.46,0.62,0.6,0.42,0.6,24354.93925,2541.021702,7773.491255,
1355,0.3,0.36,0.35,0.42,0.2,19838.0241,1735.106695,2842.027765,
1356,0.3,0.1,0.225,0.18,0.2,18233.74438,1053.713399,430.7632897,
1357,0.84,0.49,0.225,0.5,0.6,20113.12854,2272.527444,5857.000583,
1358,1.92,0.1,0.225,0.18,0.6,22045.52785,1086.069001,602.0938391,
1359,0.84,0.49,0.1,0.26,0.2,17660.75829,1851.054512,4663.433033,
1360,1.92,0.62,0.475,0.34,0.4,22254.6361,2370.434588,6997.460871,
1361,0.84,0.23,0.6,0.1,0.4,20217.31899,1484.864946,1673.021498,
1362,1.38,0.23,0.475,0.26,0.2,22421.00677,1391.800181,1462.967073,
1363,0.3,0.75,0.225,0.5,0.6,17710.02647,2946.074619,9744.675557,
1364,0.84,0.1,0.35,0.18,0.2,20444.18477,1090.606715,430.851903,
1365,0.3,0.49,0.35,0.1,0.4,16149.98476,2182.366952,5261.525804,
1366,3,0.1,0.225,0.42,0.8,26112.41876,1178.615885,671.8566294,
1367,0.3,0.36,0.225,0.5,0.2,19737.9345,1708.790474,2842.027765,
1368,1.92,0.23,0.225,0.34,0.8,22427.05591,1533.13871,2227.843922,
1369,0.3,0.36,0.6,0.18,0.6,18773.55935,2038.579314,3619.542089,
1370,2.46,0.1,0.475,0.42,0.2,26685.20699,1209.145194,463.1266797,
1371,0.3,0.62,0.225,0.34,0.6,16863.25208,2660.228915,7784.394805,
1372,1.38,0.23,0.35,0.42,0.6,22812.47291,1553.651629,1882.258407,
1373,2.46,0.36,0.1,0.34,0.4,22190.75584,1606.800534,3392.851679,
1374,2.46,0.1,0.35,0.34,0.6,25243.08324,1184.352899,602.2264778,
1375,3,0.62,0.1,0.26,0.2,21510.11876,1958.539305,6216.10839,
1376,0.84,0.1,0.6,0.26,0.2,22539.78976,1214.156654,430.851903,
1377,0.3,0.1,0.6,0.42,0.6,22359.57965,1359.158167,564.1887356,
1378,1.92,0.23,0.475,0.26,0.4,23412.71275,1459.659673,1791.407795,
1379,3,0.1,0.35,0.26,0.4,25602.87463,1134.402138,532.716705,
1380,1.92,0.49,0.1,0.18,0.2,19314.34091,1735.369587,4453.853084,
1381,2.46,0.1,0.225,0.1,0.4,22445.40587,1028.701549,532.6765788,
1382,3,0.36,0.6,0.18,0.4,24668.39524,1719.639129,3391.427274,
1383,1.92,0.23,0.225,0.42,0.8,23093.88911,1557.702478,2227.843922,
1384,0.84,0.1,0.35,0.42,0.4,22471.12675,1212.45136,497.6532392,
1385,3,0.49,0.1,0.5,0.4,23813.60245,1921.19329,5028.472727,
1386,0.84,0.1,0.6,0.34,0.8,23055.35095,1337.405695,631.2559117,
1387,1.92,0.1,0.6,0.42,0.4,26228.16924,1284.953566,532.588153,
1388,0.3,0.49,0.475,0.1,0.4,16890.50129,2223.312096,5261.525804,
1389,1.92,0.36,0.6,0.34,0.2,24254.34236,1692.488235,2994.569285,
1390,0.3,0.23,0.6,0.26,0.2,20427.24145,1487.630372,1463.335297,
1391,3,0.75,0.475,0.5,0.8,24494.6577,2922.884444,10693.99985,
