Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling
2673,2.8,0.24,1.2,1.38,0.2,325527.6228,133934.8971
2674,1.3,0.1,0.1,1.06,0.8,251634.0185,114638.206
2675,2.3,0.8,0.1,0.1,0.8,103943.1894,185515.9593
2676,1.8,0.8,0.1,1.06,0.4,211214.7331,170549.0418
2677,0.3,0.8,0.54,1.7,0.2,242379.7352,168119.8282
2678,2.8,0.24,0.98,1.38,0.2,322126.7419,132827.9422
2679,2.8,0.24,0.32,1.06,0.8,272171.4705,136651.014
2680,1.3,0.52,0.76,1.38,0.4,258446.0011,158351.5011
2681,1.8,0.52,0.54,0.74,0.2,218870.649,130763.83
2682,2.8,0.8,0.98,0.1,0.6,138218.4586,171413.5592
2683,2.3,0.66,0.32,1.38,0.2,272335.8378,152983.8243
2684,0.3,0.8,0.76,1.06,0.2,196917.2672,156550.8943
2685,1.8,0.1,0.54,1.7,0.4,324989.0976,128967.5627
2686,1.8,0.1,1.2,1.06,0.8,284616.5079,121296.2231
2687,2.8,0.38,0.54,1.06,0.4,272104.3858,139710.6605
2688,2.3,0.24,0.76,1.7,0.6,322061.3666,148387.6964
2689,2.8,0.52,1.2,1.06,0.2,281012.4068,142998.8067
2690,1.3,0.38,0.98,1.7,0.8,285278.0295,171031.7454
2691,0.8,0.8,0.32,0.1,0.2,100115.4116,131374.8242
2692,0.8,0.8,0.54,1.06,0.8,179574.1679,210802.9721
2693,2.3,0.52,1.2,1.38,0.6,280487.0891,172751.9599
2694,1.3,0.38,0.1,1.06,0.4,229837.4722,135328.842
2695,0.3,0.1,0.32,0.42,0.8,163487.6548,99226.9614
2696,1.8,0.24,1.2,0.42,0.2,216085.1886,107988.5329
2697,2.3,0.38,0.32,0.42,0.8,182294.6999,138760.4089
2698,0.8,0.66,0.76,0.1,0.4,107492.1286,140818.3373
2699,2.8,0.38,0.76,0.1,0.2,181197.566,106088.3742
2700,1.3,0.8,0.32,1.38,0.2,241446.6111,160745.8321
2701,2.8,0.66,0.76,0.74,0.8,209622.8267,184749.0799
2702,1.3,0.8,0.98,0.42,0.8,138202.1929,199333.0083
2703,1.3,0.66,0.32,1.38,0.4,239942.9199,167234.2001
2704,1.3,0.38,0.98,0.42,0.4,183709.247,124408.9931
2705,1.3,0.1,0.76,0.74,0.6,237390.3228,108644.1703
2706,0.3,0.24,0.32,0.74,0.2,193476.5716,109924.146
2707,2.8,0.66,0.54,0.74,0.8,205432.0192,183562.3044
2708,2.3,0.38,0.1,1.38,0.2,285297.8874,135197.4083
2709,2.8,0.52,0.32,1.7,0.4,305858.367,163157.7561
2710,2.3,0.52,0.54,0.1,0.8,134372.8757,150471.2674
2711,2.8,0.66,0.1,1.06,0.8,225602.564,187766.2554
2712,2.3,0.24,1.2,0.42,0.6,217518.4599,119849.6413
2713,1.3,0.52,0.32,0.1,0.2,128791.36,111864.5505
2714,2.3,0.1,0.98,1.38,0.6,319477.7479,126603.9173
2715,2.8,0.8,0.1,1.38,0.4,258406.0689,177020.1685
2716,2.3,0.38,0.32,1.06,0.8,246100.1388,154457.1565
2717,1.8,0.24,0.98,0.42,0.6,202733.9411,118424.2426
2718,2.8,0.1,0.1,0.74,0.4,260332.4163,104309.9113
2719,2.3,0.52,0.76,0.42,0.4,191643.4589,136104.1425
2720,2.3,0.38,0.98,0.42,0.6,199751.1533,134434.1707
2721,1.8,0.8,0.54,1.7,0.4,270298.7624,185722.2661
2722,2.3,0.1,0.1,1.7,0.2,328905.1314,124875.8504
