Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling,total_solarRad
v4296,2.22,0.34,0.1,0.1,0.4,93463.83038,19198.11768,29993.06228
v4297,2.7,0.1,0.4,0.1,0.2,111646.7505,13770.42774,4270.826679
v4298,2.22,0.46,0.3,0.34,0.6,94847.3611,21255.31736,51053.38375
v4299,1.26,0.1,0.5,0.34,0.8,101711.6715,16028.5773,6722.342581
v4300,2.7,0.34,0.6,0.1,0.2,105700.1881,18092.09058,25150.9236
v4301,2.7,0.7,0.3,0.58,0.6,94934.46171,22706.58325,87193.64966
v4302,1.74,0.1,0.2,0.1,0.8,98969.46022,15186.24907,7080.190147
v4303,2.7,0.1,0.3,0.46,0.8,114789.1297,14789.53844,7085.282183
v4304,1.74,0.58,0.1,0.7,0.2,91561.82878,21209.35916,51650.62052
v4305,1.74,0.22,0.2,0.22,0.8,95209.60001,18680.48058,21410.79434
v4306,0.78,0.7,0.3,0.46,0.4,76462.67812,23567.04513,76018.68246
v4307,2.7,0.34,0.5,0.1,0.6,102153.5783,19575.24056,34798.20303
v4308,2.22,0.58,0.1,0.46,0.8,88717.55341,22750.64536,79212.40279
v4309,2.7,0.7,0.1,0.34,0.8,87481.28111,23305.92329,98485.96391
v4310,1.26,0.7,0.6,0.46,0.8,82771.61817,23888.25902,98668.95962
v4311,2.7,0.46,0.2,0.1,0.2,96680.24747,19502.53657,37200.85791
v4312,1.26,0.1,0.1,0.46,0.8,97904.55242,15740.95329,6722.342581
v4313,1.74,0.1,0.6,0.7,0.6,112952.1745,15570.21705,6143.311322
v4314,0.78,0.34,0.4,0.22,0.8,83188.59369,21642.58304,37846.79911
v4315,2.7,0.34,0.1,0.34,0.6,100357.3483,19463.3648,34798.20303
v4316,0.78,0.7,0.2,0.46,0.8,72299.40558,24385.61666,98720.65804
v4317,2.7,0.1,0.1,0.7,0.6,115259.7647,14547.93859,6147.130349
v4318,1.74,0.22,0.5,0.46,0.6,103339.6102,18312.70984,18722.92396
v4319,0.3,0.1,0.4,0.58,0.8,92397.26992,17218.99022,6712.226939
v4320,0.3,0.22,0.3,0.1,0.4,80086.78688,19191.60207,15090.51163
v4321,0.78,0.7,0.1,0.34,0.4,71740.61619,23744.65048,76018.68246
v4322,1.26,0.7,0.3,0.34,0.4,79834.86876,23277.50257,75992.83325
v4323,2.7,0.1,0.6,0.22,0.8,115118.919,14867.45187,7085.282183
v4324,1.26,0.7,0.6,0.58,0.4,87155.85529,23009.80953,75992.83325
v4325,1.26,0.22,0.5,0.7,0.8,101153.5344,19066.91436,20292.23376
v4326,0.3,0.22,0.3,0.1,0.4,80086.78688,19191.60207,15090.51163
v4327,1.26,0.46,0.2,0.46,0.6,85811.32813,22016.77228,53094.42174
